"NeuronUID","SampleID","NeuronID","Neuron_Type","Soma_Region_Auto","Soma_Region_Refined","Soma_Region_Source","Soma_Side","Soma_Side_Inferred","Soma_NII_X","Soma_NII_Y","Soma_NII_Z","Soma_Phys_X","Soma_Phys_Y","Soma_Phys_Z","Total_Length","Terminal_Count","N_Ipsilateral","N_Contralateral","N_Laterality_Unknown","Laterality_Index","Soma_Side_Final","Soma_Region_Final","gou_auto","gou_cog","gou_emo","gou_memory","gou_motor","gou_sens"
"251637::061.swc","251637","061.swc","ITs","R-IAL","IAL","curated_251637","R","R",186.6432,213.4904,85.332,46660.8,53372.6,21333,1697.45399999993,17,16,0,1,0,"R","IAL",0,0,0.2358356627692,0,0.608213075549442,0.0133708567065668
"251637::062.swc","251637","062.swc","ITi","R-IAL","IAL","curated_251637","R","R",186.8984,213.6072,85.48,46724.6,53401.8,21370,173.897,4,3,0,1,0,"R","IAL",0,0,0.503866019721396,0,0.496133980278604,0
"251637::063.swc","251637","063.swc","ITi","R-IAL","IAL","curated_251637","R","R",186.9016,214.944,84.944,46725.4,53736,21236,68.139,2,1,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::064.swc","251637","064.swc","ITi","R-IAL","IAL","curated_251637","R","R",191.2144,214.9556,88.454,47803.6,53738.9,22113.5,49.449,2,2,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::065.swc","251637","065.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.8952,215.1232,88.1848,47723.8,53780.8,22046.2,74.5970000000002,3,3,0,0,0,"R","IAL",0,0,0.625360443622921,0,0,0
"251637::066.swc","251637","066.swc","PT","R-IAL","IAL","curated_251637","R","R",190.622,213.8964,89.6608,47655.5,53474.1,22415.2,507.340999999992,8,7,0,1,0,"R","IAL",0.0344617950009553,0,0.414740060099703,0,0.235882649250491,0
"251637::067.swc","251637","067.swc","ITi","R-IAL","IAL","curated_251637","R","R",189.1192,213.2964,88.9632,47279.8,53324.1,22240.8,712.601999999986,8,7,0,1,0,"R","IAL",0,0,0.402074425712474,0,0.236900716944937,0
"251637::068.swc","251637","068.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.6504,212.2204,88.7488,47162.6,53055.1,22187.2,232.794999999999,3,2,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::069.swc","251637","069.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.112,213.4912,89.292,47528,53372.8,22323,40.4939999999999,1,1,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::070.swc","251637","070.swc","ITi","R-IAL","IAL","curated_251637","R","R",191.436,216.6936,87.786,47859,54173.4,21946.5,103.322000000001,4,3,0,1,0,"R","IAL",0,0,1,0,0,0
