I	J	Score	Match	NoMatch
207	165	1.22975e+10	59015	1.00032e+06
84	179	1.64751e+10	24909.2	401332
165	61	2.36962e+10	136902	870972
104	67	2.81994e+09	42336.5	534999
156	73	1.24639e+10	101269	403900
189	60	1.82747e+10	47833.9	607616
112	86	3.05762e+08	32482.3	258158
83	92	2.46942e+09	76978.7	557329
193	52	1.70355e+10	27482.6	730520
62	21	5.56618e+09	154673	945404
78	58	4.12713e+09	56710.8	494375
92	154	1.35454e+10	20913.7	345383
30	96	2.96786e+09	92232.9	454017
84	124	1.25316e+10	18534.2	347677
159	157	1.72726e+09	58116.8	382190
191	69	1.06047e+10	32646.9	370701
143	62	4.17104e+10	93820.1	1.12159e+06
67	124	1.25819e+10	18335.2	369972
52	154	1.27776e+10	19559.6	371940
189	154	6.20265e+09	12767.6	462773
6	40	8.56268e+09	105922	1.35527e+06
142	145	3.1131e+09	87940.2	424034
128	127	3.67535e+09	169087	871149
21	191	1.69368e+10	70272.8	634084
85	67	1.27586e+09	100419	491923
61	104	5.01437e+09	66584	770424
68	207	3.20549e+10	154156	1.18443e+06
84	157	1.28442e+10	27911.5	396440
92	96	9.85598e+08	69204.3	422055
156	102	1.90704e+10	50762.9	482266
191	166	2.3916e+09	39352.6	385920
104	159	1.94693e+10	61998.6	509197
162	112	2.06721e+10	28355.7	525617
159	118	1.25176e+10	60524.5	358054
195	156	6.49216e+09	53335.3	728884
30	121	1.72675e+10	46489.9	496583
67	157	1.3506e+10	27430.8	419016
189	96	1.73358e+10	48687.5	551817
52	96	3.88218e+09	26386.7	490076
112	87	7.35745e+08	41102.6	259508
84	118	2.05428e+09	53355.2	349267
92	121	1.68592e+10	34343.8	453739
78	86	1.19003e+09	96256.8	403892
193	30	2.08556e+10	25473.6	762316
191	60	1.30057e+10	31573.4	435929
142	133	2.97561e+09	89353.7	409463
83	84	2.70906e+09	95865.9	461232
159	70	1.34831e+10	28351.8	345180
189	121	5.65843e+09	102155	495173
127	193	8.10687e+09	127886	806839
30	179	1.98083e+10	48984.8	509456
67	118	1.76288e+09	84826.3	339892
84	70	1.0669e+09	22609.2	334967
52	121	1.50348e+10	36497.2	476789
85	159	2.0005e+10	17441.7	568761
156	145	1.68126e+09	78343.1	434072
92	179	1.82801e+10	25460.9	477990
191	154	3.91349e+09	10324.1	277269
207	131	1.28256e+10	57694.3	987682
189	179	8.18281e+09	25160.5	587535
159	134	1.4902e+09	6033.92	296354
104	58	5.28941e+09	26542.9	557443
84	134	1.08375e+10	18338.2	268093
21	189	1.9608e+10	139831	752473
67	70	6.32382e+08	32501.7	347170
112	89	1.14034e+09	35275.7	268186
40	131	3.6913e+10	33439.7	1.02161e+06
131	195	1.02962e+10	95931.6	875200
30	124	1.56222e+10	33390	465020
142	120	3.18714e+09	75531.5	379414
163	68	4.84797e+10	85227	1.59677e+06
92	124	1.43464e+10	18808.6	424612
52	179	1.67722e+10	46609.4	482044
62	83	8.00119e+09	48102.7	903222
78	87	1.23657e+09	109148	400971
191	96	1.18712e+10	34508.3	378048
189	124	6.19012e+09	57606.2	495059
193	67	1.87515e+10	18081.5	659605
84	190	8.50664e+09	68455.4	276998
195	142	6.77255e+09	71202.5	710575
159	190	1.97157e+09	63539.7	297870
61	78	4.80118e+09	117731	686377
192	165	1.12515e+10	139989	1.01484e+06
162	156	7.75657e+09	47885.4	716488
83	52	4.94143e+09	70060.3	589450
156	133	2.50075e+09	49411.9	449847
165	162	7.49206e+09	87423.9	879823
67	134	1.12074e+10	16827.5	291700
92	157	1.43117e+10	27881.3	473679
30	157	1.44734e+10	33899.5	522650
85	58	3.69376e+09	35346.3	563647
52	124	1.44248e+10	19063.8	449560
142	198	7.81932e+09	84568.7	450621
189	157	4.12433e+09	96752	514053
84	49	2.95366e+09	57629.4	371059
191	121	4.83233e+09	30787.4	378593
159	49	1.35491e+10	22772.1	421872
104	86	1.91938e+09	59009.2	474041
112	73	3.58062e+09	53303.6	241465
67	190	8.45196e+09	81604.1	285945
92	118	2.21011e+09	43728.2	436103
143	127	4.49508e+09	156575	943738
78	89	1.41957e+09	103196	409774
30	118	4.58295e+09	111100	423721
84	95	1.34543e+09	41335.9	346202
156	120	1.06302e+09	71193.8	384193
189	118	1.5254e+10	57586.1	531490
6	143	4.41862e+10	111051	1.36891e+06
127	85	2.56229e+10	23990.6	825390
191	179	6.20011e+09	12754.1	411993
52	157	1.21193e+10	27695.4	499068
159	95	1.04519e+10	48026.6	355467
128	61	2.81707e+10	83417.4	959453
21	92	6.8333e+09	87475.2	695585
67	49	2.69233e+09	30374.6	420409
193	159	5.32554e+09	48937.3	622610
142	0	1.41686e+10	68960.3	455883
92	70	8.56533e+08	75029	359756
84	144	1.10306e+10	12268	276339
85	86	7.61791e+08	99160.8	448895
30	70	2.99434e+09	69883.6	419891
189	70	1.65458e+10	88275.9	455754
83	30	4.58508e+09	83416.9	605880
159	144	1.1377e+09	7344.02	297219
207	62	3.48474e+10	62114.9	1.12485e+06
191	124	4.29127e+09	14235.3	350482
52	118	5.18424e+09	15935.2	489099
112	102	3.44052e+09	16748.1	305880
84	5	2.66146e+09	83386	338606
92	134	1.31941e+10	20507.4	343133
156	198	9.16148e+09	31870.5	503761
104	87	1.48192e+09	120195	422825
67	95	1.03989e+09	61253.7	348380
195	191	3.47213e+09	69207.7	647795
162	142	8.03787e+09	57830.2	706102
78	73	4.30188e+09	82760.5	421516
189	134	6.19226e+09	22501.1	450384
68	192	2.94458e+10	153580	1.28049e+06
30	134	1.50101e+10	17626.8	401004
61	112	4.30684e+09	32177.2	562422
142	174	4.09911e+09	44482.1	458601
159	5	1.50733e+10	25629	412319
84	194	1.19386e+10	35436.5	381793
62	193	3.50951e+10	37592.8	1.01222e+06
191	157	3.18386e+09	34598.4	388259
92	190	9.56734e+09	72613.4	350049
52	70	4.68305e+09	26660.8	433327
67	144	1.13889e+10	16422.8	294280
189	190	2.50393e+09	75543	456364
193	58	1.74012e+10	30806.5	653531
84	36	1.8444e+09	79817.7	302553
85	87	1.26662e+09	66328.4	491698
131	21	2.78584e+10	119816	838670
156	0	1.53405e+10	55332.3	469953
112	145	1.15788e+10	21533.5	280481
159	194	3.61226e+09	68971.3	364214
21	84	6.7859e+09	50833.3	655018
191	118	1.04187e+10	61522	339606
92	49	3.36599e+09	44500	461397
30	190	1.04168e+10	77964.6	399688
83	67	3.47997e+09	69955.3	509239
189	49	1.37539e+10	58458.3	556683
84	75	7.77313e+08	55952.4	292859
67	5	2.77961e+09	33051.9	411036
104	89	2.0821e+09	121814	424058
52	134	1.24982e+10	18798.6	370045
142	9	1.54367e+10	76738.7	453009
78	102	2.84036e+09	103037	429099
40	62	1.2555e+10	71200.8	1.12544e+06
92	95	1.19965e+09	75452.2	389294
165	195	1.00908e+10	86346	898747
159	36	1.32317e+10	17266.8	381060
191	70	1.08844e+10	24186.9	331895
