SampleID,NeuronID,Neuron_Type,Soma_Region,Total_Length,Terminal_Count,Terminal_List,Region_projection_length
251637,118.swc,IT,floor_of_ls,524.7569999999939,3,"['floor_of_ls', 'Unknown_0', 'pAmy']","{'floor_of_ls': 366.2709999999962, 'LPal': 30.163000000000004, 'VPal': 14.473999999999997, 'pAmy': 20.709000000000014}"
251637,119.swc,IT,floor_of_ls,257.2059999999982,2,"['floor_of_ls', 'Unknown_0']","{'floor_of_ls': 161.10100000000054, 'LPal': 4.356000000000001}"
251637,120.swc,IT,floor_of_ls,67.15500000000004,2,"['floor_of_ls', 'Unknown_0']",{'floor_of_ls': 59.92899999999991}
251637,121.swc,IT,floor_of_ls,100.19800000000103,2,"['floor_of_ls', 'Unknown_0']",{'floor_of_ls': 75.39000000000028}
251637,122.swc,IT,floor_of_ls,1446.420999999967,9,"['floor_of_ls', 'Unknown_0', 'LPal', 'VPal', 'Str', 'pAmy', 'spAmy', 'TG', 'Rh']","{'floor_of_ls': 352.03799999999455, 'LPal': 89.88000000000017, 'TG': 107.87000000000062, 'Rh': 359.80899999999934, 'VPal': 41.482, 'pAmy': 187.14500000000052, 'Str': 58.42, 'spAmy': 23.47000000000001}"
251637,123.swc,IT,floor_of_ls,1052.9069999999824,4,"['floor_of_ls', 'Unknown_0', 'caudal_OFC', 'M1/PM']","{'floor_of_ls': 655.7079999999886, 'caudal_OFC': 203.19299999999905, 'M1/PM': 4.453999999999999}"
251637,124.swc,IT,floor_of_ls,1555.6219999999714,3,"['floor_of_ls', 'Unknown_0', 'Str']","{'floor_of_ls': 1273.4959999999753, 'LPal': 8.585999999999995, 'Str': 116.99400000000158}"
251637,125.swc,IT,floor_of_ls,933.629999999984,3,"['floor_of_ls', 'Unknown_0', 'SII']","{'floor_of_ls': 882.7109999999872, 'SII': 2.4449999999999985}"
251637,126.swc,IT,floor_of_ls,967.2329999999819,7,"['floor_of_ls', 'Unknown_0', 'SII', 'M1/PM', 'caudal_OFC', 'pAmy', 'Rh']","{'floor_of_ls': 611.0519999999854, 'LPal': 37.13499999999996, 'caudal_OFC': 53.34200000000008, 'M1/PM': 7.664, 'Pd': 0.42599999999999993, 'Str': 6.491999999999998, 'pAmy': 31.74399999999996, 'Rh': 7.520999999999993, 'SII': 0.151}"
251637,127.swc,IT,floor_of_ls,326.20499999999646,2,"['floor_of_ls', 'Unknown_0']",{'floor_of_ls': 248.96999999999747}
251637,128.swc,IT,floor_of_ls,990.891999999982,5,"['floor_of_ls', 'Unknown_0', 'Str', 'Pd', 'DSP']","{'floor_of_ls': 454.1239999999913, 'LPal': 17.497999999999983, 'Str': 305.3319999999978, 'spAmy': 24.720999999999975, 'Pd': 13.575999999999983, 'DSP': 1.0020000000000004}"
251637,129.swc,IT,floor_of_ls,287.4409999999993,3,"['floor_of_ls', 'Unknown_0', 'STSf']","{'floor_of_ls': 159.3230000000009, 'LPal': 4.018999999999999, 'STSf': 80.7680000000002, 'TE': 1.6480000000000006}"
251637,130.swc,IT,floor_of_ls,83.99100000000065,2,"['floor_of_ls', 'Unknown_0']",{'floor_of_ls': 70.45200000000011}
251637,131.swc,IT,floor_of_ls,1385.6239999999452,5,"['floor_of_ls', 'Unknown_0', 'Str', 'Pd', 'SII']","{'floor_of_ls': 798.1019999999794, 'LPal': 17.622, 'Str': 228.73999999999904, 'spAmy': 1.509, 'Pd': 1.9029999999999994, 'SII': 1.2729999999999997}"
251637,132.swc,IT,floor_of_ls,37.65899999999995,1,['floor_of_ls'],{'floor_of_ls': 37.65899999999995}
251637,133.swc,IT,floor_of_ls,287.30799999999584,2,"['floor_of_ls', 'Unknown_0']",{'floor_of_ls': 172.00300000000132}
251637,134.swc,PT,floor_of_ls,700.9869999999866,8,"['floor_of_ls', 'Unknown_0', 'Str', 'Pd', 'spAmy', 'VMid', 'VPons', 'POC']","{'floor_of_ls': 398.72099999999585, 'LPal': 20.20899999999999, 'Str': 29.299000000000007, 'Pd': 75.05400000000022, 'POC': 37.65799999999996, 'VMid': 1.1840000000000004, 'VPons': 10.764, 'spAmy': 18.422999999999995, 'DSP': 15.556999999999995}"
251637,135.swc,IT,floor_of_ls,836.1699999999828,5,"['floor_of_ls', 'Unknown_0', 'TE', 'M1/PM', 'LPal']","{'floor_of_ls': 691.8179999999822, 'caudal_OFC': 9.147999999999996, 'M1/PM': 8.568000000000001, 'SII': 0.11599999999999999, 'LPal': 11.709999999999996, 'belt': 7.014000000000002, 'STSf': 14.905000000000001, 'TE': 2.137}"
251637,136.swc,IT,floor_of_ls,235.47199999999748,3,"['floor_of_ls', 'LPal', 'Unknown_0']","{'floor_of_ls': 166.1850000000005, 'LPal': 5.099999999999998}"
