"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude","direction","p_presence_BH","p_magnitude_BH"
"IAL_combined","InO",21,117,3,0,0.00854700854700855,0,0.000651557226480774,NA,0.0762321954982505,1,0.686591451331442,"R>L",1,0.686591451331442
"IAL_combined","PCom_MCPC",21,117,3,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_combined","ll",21,117,3,0,0.00854700854700855,0,0.000146641055635787,NA,0.0171570035093871,1,0.686591451331442,"R>L",1,0.686591451331442
"IAL_251637","PAG",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","SCo",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","ICo",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","VTA",7,95,1,0,0.0105263157894737,0,0.000353945526943403,NA,0.0336248250596233,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","SN",7,95,1,0,0.0210526315789474,0,0.00178352331262857,NA,0.0847173573498572,1,0.72017429811697,"R>L",1,0.816017650690092
"IAL_251637","SubC",7,95,1,0,0.0105263157894737,0,0.000169081852766743,NA,0.0160627760128405,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","RtTg",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","MiTg",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","RM",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","PnO",7,95,1,0,0.0105263157894737,0,0.000437913725936898,NA,0.0416018039640054,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","PnC",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","MPB",7,95,1,0,0.0105263157894737,0,0.000420063722285761,NA,0.0399060536171473,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","KF",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","RF",7,95,1,0,0.0105263157894737,0,0.000104936385100624,NA,0.0099689565845593,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","InO",7,95,1,0,0.0105263157894737,0,0.000802444163139479,NA,0.0762321954982505,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_251637","PCom_MCPC",7,95,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_251637","ll",7,95,1,0,0.0105263157894737,0,0.000180600036940917,NA,0.0171570035093871,1,0.816017650690092,"R>L",1,0.816017650690092
"IAL_252385","PAG",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","SCo",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","ICo",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","VTA",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","SN",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","SubC",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","RtTg",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","MiTg",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","RM",11,20,1,0.0909090909090909,0,0.00471721828889103,0,0.0518894011778013,NA,0.354838709677419,0.200200782871217,"L>R",1,0.200200782871217
"IAL_252385","PnO",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","PnC",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","MPB",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","KF",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","RF",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","InO",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","PCom_MCPC",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
"IAL_252385","ll",11,20,1,0,0,0,0,NA,NA,1,NA,"R>L",1,NA
