NeuronID,SampleID,Neuron_Type,Soma_Region,hemisphere,subregion,soma_x,soma_y,soma_z
405.swc,251637,ITs,CL_Ig,left,granular,54.475199999999994,171.772,103.2928
406.swc,251637,ITi,CL_Ig,left,granular,54.034,171.36079999999998,103.06360000000001
407.swc,251637,ITi,CL_Ig,left,granular,54.9432,170.56879999999998,103.53
408.swc,251637,ITi,CL_Ig,left,granular,54.628800000000005,171.9712,102.6524
409.swc,251637,ITs,CL_Ig,left,granular,55.038,173.376,104.56160000000001
410.swc,251637,ITi,CL_Ig,left,granular,53.722,173.088,104.3064
411.swc,251637,ITi,CL_Ig,left,granular,51.8792,170.724,105.126
412.swc,251637,ITi,CL_Ig,left,granular,52.3512,170.552,103.76360000000001
413.swc,251637,ITi,CL_Ig,left,granular,53.9152,171.866,99.808
414.swc,251637,PT,CL_Ia/Id,left,agranular,51.444,173.268,98.90480000000001
415.swc,251637,ITi,CL_Ia/Id,left,agranular,51.69,173.76479999999998,98.514
416.swc,251637,ITi,CL_Ia/Id,left,agranular,52.484,173.9288,98.1168
417.swc,251637,ITi,CL_Ia/Id,left,agranular,51.4168,173.696,97.2288
418.swc,251637,CT,CL_Ia/Id,left,agranular,52.9032,173.40079999999998,96.59519999999999
419.swc,251637,ITi,CL_Ia/Id,left,agranular,52.8808,173.8992,96.28880000000001
420.swc,251637,ITi,CL_Ig,left,granular,52.886,171.93120000000002,99.04480000000001
421.swc,251637,CT,CL_Ig,left,granular,54.016,171.47,98.752
424.swc,251637,CT,CL_Ia/Id,left,agranular,50.91,171.06879999999998,93.588
425.swc,251637,ITi,CL_Ia/Id,left,agranular,51.5472,171.88320000000002,93.7552
426.swc,251637,ITi,CL_Ia/Id,left,agranular,52.11,170.6888,94.264
427.swc,251637,ITi,CL_Ia/Id,left,agranular,51.407199999999996,170.826,94.802
428.swc,251637,ITi,CL_Ia/Id,left,agranular,51.334,171.18079999999998,95.4472
429.swc,251637,ITi,CL_Ia/Id,left,agranular,51.034,171.126,95.646
430.swc,251637,ITs,CL_Ia/Id,left,agranular,49.522,173.104,96.8208
431.swc,251637,ITs,CL_Ia/Id,left,agranular,49.0792,171.88,95.9032
432.swc,251637,PT,CL_Ia/Id,left,agranular,51.034,172.07,92.8248
433.swc,251637,ITs,CL_Ia/Id,left,agranular,50.81,173.26479999999998,92.3408
434.swc,251637,CT,CL_Ia/Id,left,agranular,51.163199999999996,173.05679999999998,91.3552
435.swc,251637,ITi,CL_Ia/Id,left,agranular,50.1008,174.06879999999998,92.0552
436.swc,251637,ITi,CL_Ia/Id,left,agranular,49.5552,173.468,91.2488
437.swc,251637,ITs,CL_Ia/Id,left,agranular,50.148,175.0128,90.99119999999999
441.swc,251637,ITi,CL_Ia/Id,left,agranular,52.024800000000006,173.9408,89.36880000000001
442.swc,251637,ITs,CL_Ia/Id,left,agranular,52.264,173.518,87.202
443.swc,251637,ITi,CL_Ia/Id,left,agranular,53.151199999999996,171.212,88.46
445.swc,251637,ITs,CL_Ia/Id,left,agranular,51.0808,169.778,89.2752
446.swc,251637,ITi,CL_Ia/Id,left,agranular,50.3632,169.8048,89.8352
447.swc,251637,ITs,CL_Ia/Id,left,agranular,50.382,172.1768,90.1912
448.swc,251637,ITc,CL_Ia/Id,left,agranular,48.858,172.77679999999998,90.308
449.swc,251637,ITi,CL_Ia/Id,left,agranular,49.164,171.3688,91.3032
450.swc,251637,ITs,CL_Ia/Id,left,agranular,49.488,172.6608,91.3432
451.swc,251637,ITi,CL_Ia/Id,left,agranular,51.602,173.452,91.296
452.swc,251637,ITi,CL_Ia/Id,left,agranular,50.234,174.52720000000002,93.654
453.swc,251637,ITi,CL_Ia/Id,left,agranular,48.566,172.8328,94.474
454.swc,251637,ITi,CL_Ia/Id,left,agranular,49.928,170.464,93.904
455.swc,251637,ITi,CL_Ia/Id,left,agranular,51.052,169.934,91.8832
456.swc,251637,ITi,CL_Ia/Id,left,agranular,51.103199999999994,170.114,92.104
457.swc,251637,ITi,CL_Ia/Id,left,agranular,52.73,171.028,93.55680000000001
462.swc,251637,ITi,CL_Ia/Id,left,agranular,52.9728,171.472,91.872
463.swc,251637,CT,CL_Ia/Id,left,agranular,51.7928,171.146,91.864
464.swc,251637,ITi,CL_Ia/Id,left,agranular,50.9728,173.256,92.0592
465.swc,251637,ITs,CL_Ia/Id,left,agranular,51.0608,168.864,94.5312
466.swc,251637,ITi,CL_Ia/Id,left,agranular,51.766,168.9352,96.368
467.swc,251637,ITi,CL_Ia/Id,left,agranular,52.5072,168.4768,97.35119999999999
468.swc,251637,ITi,CL_Ia/Id,left,agranular,53.468,169.354,97.0368
470.swc,251637,ITi,CL_Ia/Id,left,agranular,52.704,171.832,96.17280000000001
471.swc,251637,ITi,CL_Ia/Id,left,agranular,52.6312,171.0672,97.782
