"stratum","target_region","mean_L","mean_R","n_L","n_R","LI","p_wilcox","p_BH","significant","abs_LI","direction","receipt_class"
"region_IAL","caudal_OFC@L3",0.297964665022231,0.403957262986707,21,117,-0.151003398276928,0.0642938175665016,0.197167707203938,FALSE,0.151003398276928,"R > L","bilateral_receiving"
"region_IAL","Str@L3",0.0306065146003662,0.0354036772554265,21,117,-0.0726730493195625,0.532488682096319,0.77032211612796,FALSE,0.0726730493195625,"R > L","bilateral_receiving"
"region_IAL","spAmy@L3",0.00338652272613482,0.00337955895278948,21,117,0.0010292165220022,0.91982397088458,0.940264503570904,FALSE,0.0010292165220022,"L > R","bilateral_receiving"
"region_IAL","Pd@L3",0.00327733160331984,0.0114071494577029,21,117,-0.553632932908528,0.399703712821033,0.77032211612796,FALSE,0.553632932908528,"R > L","bilateral_receiving"
"region_IAL","floor_of_ls@L3",0.0205212305305548,0.0359425882515471,21,117,-0.273119234979698,0.60765782113636,0.77032211612796,FALSE,0.273119234979698,"R > L","bilateral_receiving"
"region_IAL","LPal@L3",0.0294629042607022,0.0242326891224715,21,117,0.097404904846821,0.145653317803104,0.394120742290752,FALSE,0.097404904846821,"L > R","bilateral_receiving"
"region_IAL","THy@L3",0,0.0032355872057347,21,117,-0.999996909380444,0.466962997199709,0.77032211612796,FALSE,0.999996909380444,"R > L","one_side_only_or_extreme"
"region_IAL","ZI-H@L3",0,0.000579639077720569,21,117,-0.999982748182677,0.686591451331442,0.77032211612796,FALSE,0.999982748182677,"R > L","one_side_only_or_extreme"
"region_IAL","VMed@L3",0,0.00160722865922613,21,117,-0.999993778148664,0.557196953821339,0.77032211612796,FALSE,0.999993778148664,"R > L","one_side_only_or_extreme"
"region_IAL","pAmy@L3",0.0123087867870755,0.00337470177611024,21,117,0.569648728245907,0.0197085073202334,0.0697377951331337,FALSE,0.569648728245907,"L > R","bilateral_receiving"
"region_IAL","M1/PM@L3",0.00431726837047334,0.0397281619128481,21,117,-0.803962755613178,0.194447720733261,0.470768165985791,FALSE,0.803962755613178,"R > L","bilateral_receiving"
"region_IAL","lat_OFC@L3",0.018131033266874,0.0325390538149857,21,117,-0.284349574559428,0.790570143766936,0.851889273451953,FALSE,0.284349574559428,"R > L","bilateral_receiving"
"region_IAL","vlPFC@L3",0.00203483262592513,0.00574212343319379,21,117,-0.476701425605639,0.814850609388825,0.851889273451953,FALSE,0.476701425605639,"R > L","bilateral_receiving"
"region_IAL","MThal@L3",0,0.00391417158114237,21,117,-0.999997445187508,0.557196953821339,0.77032211612796,FALSE,0.999997445187508,"R > L","one_side_only_or_extreme"
"region_IAL","MLThal@L3",0.0154071276424365,0.00427287523476498,21,117,0.565764487917084,0.372560425025725,0.77032211612796,FALSE,0.565764487917084,"L > R","bilateral_receiving"
"region_IAL","Rh@L3",0.0196639637527745,0.00249910275395613,21,117,0.774480067945695,0.000413477121108619,0.00633998252366549,TRUE,0.774480067945695,"L > R","bilateral_receiving"
"region_IAL","STSf@L3",0,0.00159538030870772,21,117,-0.999993731941365,0.557196953821339,0.77032211612796,FALSE,0.999993731941365,"R > L","one_side_only_or_extreme"
"region_IAL","TG@L3",0.039112310550302,0.002434556715844,21,117,0.882804105817706,5.40291530182202e-07,2.48534103883813e-05,TRUE,0.882804105817706,"L > R","bilateral_receiving"
"region_IAL","SII@L3",0,0.00939520141681002,21,117,-0.999998935627996,0.294410900897152,0.644900068631857,FALSE,0.999998935627996,"R > L","one_side_only_or_extreme"
"region_IAL","SI@L3",0,0.00160198264222587,21,117,-0.999993757774077,0.466962997199709,0.77032211612796,FALSE,0.999993757774077,"R > L","one_side_only_or_extreme"
"region_IAL","lat_IPS@L3",0,0.00104063799044944,21,117,-0.99999039060269,0.557196953821339,0.77032211612796,FALSE,0.99999039060269,"R > L","one_side_only_or_extreme"
"region_IAL","area_7_in_IPL@L3",0,0.00263874608575113,21,117,-0.999996210335599,0.557196953821339,0.77032211612796,FALSE,0.999996210335599,"R > L","one_side_only_or_extreme"
"region_IAL","VMid@L3",0,0.00197219426733236,21,117,-0.999994929531304,0.466962997199709,0.77032211612796,FALSE,0.999994929531304,"R > L","one_side_only_or_extreme"
"region_IAL","DSP@L3",0.000907440371881883,0.00306229190174852,21,117,-0.542818999656616,0.797691090336792,0.851889273451953,FALSE,0.542818999656616,"R > L","bilateral_receiving"
"region_IAL","STGr/STSd@L3",0.0030357042524267,0.000574405399256688,21,117,0.681777639148973,0.178358015572571,0.455803817574349,FALSE,0.681777639148973,"L > R","bilateral_receiving"
"region_IAL","VPons@L3",0,0.00175567468470957,21,117,-0.999994304216419,0.557196953821339,0.77032211612796,FALSE,0.999994304216419,"R > L","one_side_only_or_extreme"
"region_IAL","DPons@L3",0,0.000523161694134043,21,117,-0.999980885816048,0.686591451331442,0.77032211612796,FALSE,0.999980885816048,"R > L","one_side_only_or_extreme"
"region_IAL","LPons@L3",0,0.000224925448864174,21,117,-0.999955542801055,0.686591451331442,0.77032211612796,FALSE,0.999955542801055,"R > L","one_side_only_or_extreme"
"region_IAL","VPal@L3",0.0216463044751739,0.00165680193619282,21,117,0.857803831303467,0.000111611079753215,0.00256705483432396,TRUE,0.857803831303467,"L > R","bilateral_receiving"
"region_IAL","POC@L3",0,0.000374391927556629,21,117,-0.9999732907358,0.686591451331442,0.77032211612796,FALSE,0.9999732907358,"R > L","one_side_only_or_extreme"
"region_IAL","VThal@L3",0,0.00102162074488941,21,117,-0.999990211727623,0.686591451331442,0.77032211612796,FALSE,0.999990211727623,"R > L","one_side_only_or_extreme"
"region_IAL","HF@L3",0.0148835899771393,0,21,117,0.99999932811954,0.00085012980119048,0.00977649271369052,TRUE,0.99999932811954,"L > R","one_side_only_or_extreme"
"region_IAL","vm_IPS@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","TE@L3",0.0016079441988124,0,21,117,0.999993780917387,0.0192727382509545,0.0697377951331337,FALSE,0.999993780917387,"L > R","one_side_only_or_extreme"
"region_IAL","MCC@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","PThal@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","area_5@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
