"stratum","target","hier","target_id","family","n_L","n_R","frac_L","frac_R","mean_L","mean_R","cliffs_delta","p_pres","p_mag","p_pres_BH","p_mag_BH","best_q","direction"
"IDD5_balanced","TE","L3","TE@L3","extra_insula",34,36,0,0.111111111111111,0,0.0206818946605268,-0.111111111111111,0.114823398535274,0.0486490888619095,0.26245348236634,0.137839085108744,0.137839085108744,"R>L"
"all_combined","STGc","L3","STGc@L3","extra_insula",121,185,0.0330578512396694,0.00540540540540541,0.00552795318144563,0.000866700475981263,0.027652445834264,0.0818311930787957,0.0629705170004711,0.168208563550858,0.138918907109982,0.138918907109982,"L>R"
"all_combined","VThal","L3","VThal@L3","extra_insula",121,185,0.0330578512396694,0.00540540540540541,0.00628422064200868,0.00127504134729995,0.027563100290373,0.0818311930787957,0.0638276059694511,0.168208563550858,0.138918907109982,0.138918907109982,"L>R"
"all_combined","HF","L3","HF@L3","extra_insula",121,185,0.0330578512396694,0.00540540540540541,0.0053104769932616,0.00109310964031744,0.027563100290373,0.0818311930787957,0.0638276059694511,0.168208563550858,0.138918907109982,0.138918907109982,"L>R"
"all_combined","lat_OFC","L3","lat_OFC@L3","extra_insula",121,185,0.165289256198347,0.0918918918918919,0.026029230881101,0.0291227637066594,0.0639267366540094,0.0720364898936647,0.0952130292207525,0.168208563550858,0.153414875361012,0.153414875361012,"R>L"
"all_combined","area_7_in_IPL","L3","area_7_in_IPL@L3","extra_insula",121,185,0.0826446280991736,0.0378378378378378,0.0172355080139672,0.00780678152254838,0.0449854813491177,0.125061721066333,0.0940511373717026,0.19280348664393,0.153414875361012,0.153414875361012,"L>R"
"all_combined","spAmy","L3","spAmy@L3","extra_insula",121,185,0.0826446280991736,0.0378378378378378,0.00808252098385484,0.00379578606753678,0.0448067902613357,0.125061721066333,0.0953660036027915,0.19280348664393,0.153414875361012,0.153414875361012,"L>R"
"all_combined","ZI-H","L3","ZI-H@L3","extra_insula",121,185,0.0413223140495868,0.0108108108108108,0.0107073960651166,0.000652035506358403,0.030958230958231,0.117582521434117,0.0774885363927482,0.19280348664393,0.153414875361012,0.153414875361012,"L>R"
"all_combined","STGr/STSd","L3","STGr/STSd@L3","extra_insula",121,185,0.0413223140495868,0.0108108108108108,0.00422001545365132,0.00105249952293545,0.030332812150994,0.117582521434117,0.0836784108048017,0.19280348664393,0.153414875361012,0.153414875361012,"L>R"
"all_combined","MThal","L3","MThal@L3","extra_insula",121,185,0.0413223140495868,0.0108108108108108,0.00542454206508119,0.00323137453446637,0.030064775519321,0.117582521434117,0.0864510134227976,0.19280348664393,0.153414875361012,0.153414875361012,"L>R"
"all_combined","VPons","L3","VPons@L3","extra_insula",121,185,0,0.0216216216216216,0,0.0034660634496814,-0.0216216216216216,0.155595577829112,0.104785407621718,0.228564555367642,0.161544170083483,0.161544170083483,"R>L"
"IDM_balanced","Ia/Id","L6","Ia/Id@L6","intra_insula",47,32,1,1,0.619934988274154,0.752843521493463,-0.218085106382979,NA,0.0861655710044275,NA,0.172215392386122,0.172215392386122,"R>L"
"IDM_balanced","Ig","L6","Ig@L6","intra_insula",47,32,0.276595744680851,0.125,0.0595612342687675,0.0256680384030988,0.151595744680851,0.163109298889689,0.114810261590748,0.326218597779378,0.172215392386122,0.172215392386122,"L>R"
