"NeuronUID","SampleID","Region","Side","ap_y","ml_x","total_ipsi","total_contra","has_any_contra","Ibias"
"251637::146.swc",251637,"IDM","R",181.772,211.8776,60.7769999999999,0,FALSE,-1
"251637::147.swc",251637,"IDM","R",182.4168,212.0136,58.1249999999998,0,FALSE,-1
"251637::148.swc",251637,"IDM","R",182.2488,211.3808,266.101999999997,0,FALSE,-1
"251637::149.swc",251637,"IDM","R",180.852,208.5332,168.081000000002,0,FALSE,-1
"251637::150.swc",251637,"IDM","R",180.8592,208.372,87.0300000000008,0,FALSE,-1
"251637::151.swc",251637,"IDM","R",179.6528,208.018,381.288999999991,0,FALSE,-1
"251637::152.swc",251637,"IDM","R",181.8832,207.2768,133.076,0,FALSE,-1
"251637::153.swc",251637,"IDM","R",182.8872,207.3596,96.5340000000009,0,FALSE,-1
"251637::154.swc",251637,"IDM","R",181.0968,206.7864,184.099000000001,0,FALSE,-1
"251637::155.swc",251637,"IDM","R",181.3872,208.4984,20.716,0,FALSE,-1
"251637::156.swc",251637,"IDM","R",181.034,209.2352,43.279,0,FALSE,-1
"251637::157.swc",251637,"IDM","R",176.626,207.1588,458.660999999994,0,FALSE,-1
"251637::158.swc",251637,"IDM","R",181.826,207.6988,31.212,0,FALSE,-1
"251637::392.swc",251637,"IDD5","L",171.5592,52.174,676.256999999994,0,FALSE,-1
"251637::393.swc",251637,"IDD5","L",170.882,51.454,551.145999999997,0,FALSE,-1
"251637::394.swc",251637,"IDD5","L",171.054,51.8568,78.0550000000001,0,FALSE,-1
"251637::395.swc",251637,"IDD5","L",172.3152,52.634,131.262000000001,0,FALSE,-1
"251637::396.swc",251637,"IDD5","L",170.44,51.5472,490.592999999997,0,FALSE,-1
"251637::397.swc",251637,"IDD5","L",170.526,50.5848,54.9129999999998,0,FALSE,-1
"251637::398.swc",251637,"IDD5","L",170.224,52.302,300.485000000001,0,FALSE,-1
"251637::399.swc",251637,"IDD5","L",171.226,52.606,1949.15499999998,0,FALSE,-1
"251637::400.swc",251637,"IDD5","L",172.178,53.9312,1720.90399999999,0,FALSE,-1
"251637::401.swc",251637,"IDD5","L",173.0272,53.6272,295.712000000002,0,FALSE,-1
"251637::402.swc",251637,"IDD5","L",173.1072,53.908,551.215000000002,0,FALSE,-1
"251637::403.swc",251637,"IDD5","L",173.23,54.1952,1613.64199999999,0,FALSE,-1
"251637::404.swc",251637,"IDD5","L",173.554,54.3392,71.6680000000001,0,FALSE,-1
"251637::405.swc",251637,"IDD5","L",171.772,54.4752,665.318,0,FALSE,-1
"251637::406.swc",251637,"IDD5","L",171.3608,54.034,267.185999999997,0,FALSE,-1
"251637::407.swc",251637,"IDD5","L",170.5688,54.9432,131.435000000002,0,FALSE,-1
"251637::408.swc",251637,"IDD5","L",171.9712,54.6288,23.713,0,FALSE,-1
"251637::409.swc",251637,"IDD5","L",173.376,55.038,206.303000000002,0,FALSE,-1
"251637::410.swc",251637,"IDD5","L",173.088,53.722,52.9649999999998,0,FALSE,-1
"251637::411.swc",251637,"IDD5","L",170.724,51.8792,114.490000000002,0,FALSE,-1
"251637::412.swc",251637,"IDD5","L",170.552,52.3512,61.5449999999999,0,FALSE,-1
"251637::413.swc",251637,"IDD5","L",171.866,53.9152,68.2020000000002,0,FALSE,-1
"251637::414.swc",251637,"IDD5","L",173.268,51.444,1035.244,0,FALSE,-1
"251637::415.swc",251637,"IDD5","L",173.7648,51.69,2143.60699999999,0,FALSE,-1
"251637::416.swc",251637,"IDD5","L",173.9288,52.484,216.933,0,FALSE,-1
"251637::417.swc",251637,"IDD5","L",173.696,51.4168,680.353999999999,0,FALSE,-1
"251637::418.swc",251637,"IDD5","L",173.4008,52.9032,254.190000000001,0,FALSE,-1
"251637::419.swc",251637,"IDD5","L",173.8992,52.8808,206.443000000002,0,FALSE,-1
"251637::420.swc",251637,"IDD5","L",171.9312,52.886,108.378,0,FALSE,-1
"251637::421.swc",251637,"IDD5","L",171.47,54.016,114.317,0,FALSE,-1
"251637::422.swc",251637,"IDD5","L",171.0112,53.796,743.381,0,FALSE,-1
"251637::423.swc",251637,"IDD5","L",171.564,53.9352,211.490000000002,0,FALSE,-1
"251637::424.swc",251637,"IDM","L",171.0688,50.91,395.290999999999,0,FALSE,-1
"251637::425.swc",251637,"IDM","L",171.8832,51.5472,183.220000000002,0,FALSE,-1
"251637::426.swc",251637,"IDM","L",170.6888,52.11,83.9410000000008,0,FALSE,-1
"251637::427.swc",251637,"IDM","L",170.826,51.4072,45.688,0,FALSE,-1
"251637::428.swc",251637,"IDM","L",171.1808,51.334,284.775999999997,0,FALSE,-1
"251637::429.swc",251637,"IDM","L",171.126,51.034,40.7849999999999,0,FALSE,-1
"251637::430.swc",251637,"IDM","L",173.104,49.522,1059.68199999999,0,FALSE,-1
"251637::431.swc",251637,"IDM","L",171.88,49.0792,777.685999999994,0,FALSE,-1
"251637::432.swc",251637,"IDM","L",172.07,51.034,307.740000000002,0,FALSE,-1
"251637::433.swc",251637,"IDM","L",173.2648,50.81,772.027999999991,0,FALSE,-1
"251637::434.swc",251637,"IDM","L",173.0568,51.1632,295.107000000001,0,FALSE,-1
"251637::435.swc",251637,"IDM","L",174.0688,50.1008,32.951,0,FALSE,-1
"251637::436.swc",251637,"IDM","L",173.468,49.5552,1486.84899999998,0,FALSE,-1
"251637::437.swc",251637,"IDM","L",175.0128,50.148,3322.37199999997,0,FALSE,-1
"251637::438.swc",251637,"IDM","L",172.5768,52.82,123.001,0,FALSE,-1
"251637::439.swc",251637,"IDM","L",172.8072,53.2568,306.131000000002,0,FALSE,-1
"251637::440.swc",251637,"IDM","L",172.488,55.124,645.960999999992,0,FALSE,-1
"251637::441.swc",251637,"IDV","L",173.9408,52.0248,99.9080000000014,0,FALSE,-1
"251637::442.swc",251637,"IDV","L",173.518,52.264,1537.94899999999,0,FALSE,-1
"251637::443.swc",251637,"IDV","L",171.212,53.1512,761.956999999992,0,FALSE,-1
"251637::444.swc",251637,"IDM","L",171.5368,53.548,185.704000000001,0,FALSE,-1
"251637::445.swc",251637,"IDM","L",169.778,51.0808,336.198999999998,0,FALSE,-1
"251637::446.swc",251637,"IDM","L",169.8048,50.3632,262.473999999999,0,FALSE,-1
"251637::447.swc",251637,"IDM","L",172.1768,50.382,434.003999999999,0,FALSE,-1
"251637::448.swc",251637,"IDM","L",172.7768,48.858,117.507000000002,47.818,TRUE,-0.421527294722522
"251637::449.swc",251637,"IDM","L",171.3688,49.164,27.6119999999999,0,FALSE,-1
"251637::450.swc",251637,"IDM","L",172.6608,49.488,101.062000000001,0,FALSE,-1
"251637::451.swc",251637,"IDM","L",173.452,51.602,23.523,0,FALSE,-1
