"Region","target","hier","target_id","n_total","n_L","n_R","frac_combined","frac_L","frac_R","mean_combined","mean_L","mean_R","cliffs_delta","p_pres","p_mag","p_pres_BH","p_mag_BH","inferential"
"IDD5","lat_OFC","L3","lat_OFC@L3",70,34,36,0.0142857142857143,0.0294117647058824,0,0.0017384547455779,0.00357917153501332,0,0.0294117647058824,0.485714285714286,0.317112900084624,0.593650793650794,0.387582433436762,TRUE
"IDD5","med_OFC","L3","med_OFC@L3",70,34,36,0,0,0,0,0,0,0,NA,NA,NA,NA,TRUE
"IDD5","spAmy","L3","spAmy@L3",70,34,36,0.0571428571428571,0.117647058823529,0,0.00574593242324424,0.0118298608713852,0,0.117647058823529,0.050579401130991,0.0367533836933189,0.139093353110225,0.101071805156627,TRUE
"IDD5","pAmy","L3","pAmy@L3",70,34,36,0.0571428571428571,0.0588235294117647,0.0555555555555556,0.00438132342835737,0.00206807717222261,0.00656605600359575,0,1,1,1,1,TRUE
"IDD5","LPal","L3","LPal@L3",70,34,36,0.257142857142857,0.441176470588235,0.0833333333333333,0.0477160215171788,0.0840164402099659,0.0134322927517688,0.363562091503268,0.000824595306407089,0.000684146737903735,0.00453527418523899,0.00376280705847054,TRUE
"IDD5","VPal","L3","VPal@L3",70,34,36,0,0,0,0,0,0,0,NA,NA,NA,NA,TRUE
"IDD5","Str","L3","Str@L3",70,34,36,0.214285714285714,0.235294117647059,0.194444444444444,0.0526543059014287,0.0515766267631994,0.053672113976423,0.0277777777777778,0.774368169612147,0.787023414636842,0.851804986573362,0.865725756100526,TRUE
"IDD5","MThal","L3","MThal@L3",70,34,36,0.0142857142857143,0.0294117647058824,0,0.00077297410192147,0.00159141726866185,0,0.0294117647058824,0.485714285714286,0.317112900084624,0.593650793650794,0.387582433436762,TRUE
"IDD5","MLThal","L3","MLThal@L3",70,34,36,0,0,0,0,0,0,0,NA,NA,NA,NA,TRUE
"IDD5","VMid","L3","VMid@L3",70,34,36,0.0142857142857143,0.0294117647058824,0,0.00151548211923176,0.00312011024547714,0,0.0294117647058824,0.485714285714286,0.317112900084624,0.593650793650794,0.387582433436762,TRUE
"IDD5","VMed","L3","VMed@L3",70,34,36,0,0,0,0,0,0,0,NA,NA,NA,NA,TRUE
"IDD5","VPons","L3","VPons@L3",70,34,36,0,0,0,0,0,0,0,NA,NA,NA,NA,TRUE
"IDD5","ZI-H","L3","ZI-H@L3",70,34,36,0.0285714285714286,0.0588235294117647,0,0.00860764914003114,0.0177216305824171,0,0.0588235294117647,0.232298136645963,0.148355778914955,0.511055900621118,0.326382713612901,TRUE
"IDD5","Ig","L6","Ig@L6",70,34,36,0.657142857142857,1,0.333333333333333,0.27621024911325,0.449053665806974,0.112969244458067,0.718954248366013,3.94122775301832e-10,1.33214455022568e-07,4.33535052832015e-09,1.46535900524825e-06,TRUE
"IDD5","Pi","L6","Pi@L6",70,34,36,0.0142857142857143,0.0294117647058824,0,0.000965399581707997,0.0019875873741047,0,0.0294117647058824,0.485714285714286,0.317112900084624,0.593650793650794,0.387582433436762,TRUE
"IDD5","Iam/Iapm","L6","Iam/Iapm@L6",70,34,36,0,0,0,0,0,0,0,NA,NA,NA,NA,TRUE
"IDM","caudal_OFC","L3","caudal_OFC@L3",79,47,32,0.0886075949367089,0.106382978723404,0.0625,0.021486375019174,0.023587092209074,0.0184009466465083,0.0412234042553191,0.694803185444128,0.536632076458953,0.87813421456709,0.682986279129577,TRUE
"IDM","lat_OFC","L3","lat_OFC@L3",79,47,32,0.0253164556962025,0.0425531914893617,0,0.00390872368750209,0.00656998236835458,0,0.0425531914893617,0.511846802986044,0.247670221846418,0.87813421456709,0.495340443692837,TRUE
"IDM","med_OFC","L3","med_OFC@L3",79,47,32,0,0,0,0,0,0,0,NA,NA,NA,NA,TRUE
"IDM","spAmy","L3","spAmy@L3",79,47,32,0.0379746835443038,0.0212765957446809,0.0625,0.00407619544252553,0.00214125181361563,0.00691814389748695,-0.0412234042553191,0.562564018260221,0.357681749635524,0.87813421456709,0.625943061862168,TRUE
"IDM","pAmy","L3","pAmy@L3",79,47,32,0.0632911392405063,0.0212765957446809,0.125,0.0132847958483815,0.00106353626711956,0.0312347708583599,-0.106382978723404,0.151988140662358,0.0599519499764053,0.456706036891129,0.321468732454095,TRUE
"IDM","LPal","L3","LPal@L3",79,47,32,0.164556962025316,0.212765957446809,0.09375,0.0322018030467759,0.0380030613472969,0.0236812049178857,0.111037234042553,0.221533858062894,0.199242296950225,0.516912335480085,0.464898692883857,TRUE
