"target","side","ap","prop","Region"
"Ig","L",171.832,0,"IDM"
"Ig","L",171.0672,0.250241797485306,"IDM"
"Ig","L",211.3912,0,"IAL"
"Ig","L",210.4168,0,"IAL"
"Ig","L",210.1168,0,"IAPM"
"Ig","L",211.9072,0,"IAPM"
"Ig","L",210.6632,0,"IAPM"
"Ig","L",211.118,0,"IAPM"
"Ig","L",212.0196,0.0240310144601459,"IAPM"
"Ig","L",213.6916,0,"IAPM"
"Ig","L",213.7356,0,"IAPM"
"Ig","L",214.7564,0,"IAPM"
"Ig","L",213.5468,0,"IAPM"
"Ig","L",213.5636,0,"IAPM"
"Ig","L",213.0968,0,"IAPM"
"Ig","L",212.2664,0,"IAL"
"Ig","L",211.8712,0,"IAL"
"Ig","L",211.8992,0,"IAL"
"Ig","L",211.3288,0,"IAL"
"Ig","L",211.884,0,"IAL"
"Ig","L",212.5584,0,"IAPM"
"Ig","L",212.4096,0,"IAPM"
"Ig","L",211.998,0,"IAPM"
"Ig","L",210.7472,0,"IAPM"
"Ig","L",211.5472,0,"IAPM"
"Ig","L",162.881,0.490768659832073,"IDD5"
"Ig","L",205.632,0,"IAL"
"Ig","L",205.908,0,"IAL"
"Ig","L",203.608,0,"IAL"
"Ig","L",190.706,0,"IDM"
"Ig","L",188.714,0.0462834669913647,"IDM"
"Ig","L",187.365,0,"IDM"
"Ig","L",209.919,0,"IAL"
"Ig","L",209.287,0,"IAL"
"Ig","L",206.676,0,"IAL"
"Ig","L",205.484,0,"IAL"
"Ig","L",206.506,0,"IAL"
"Ig","L",207.459,0,"IAL"
"Ig","L",208.442,0,"IAL"
"Ig","L",209.073,0,"IAL"
"Ig","L",207.16,0,"IAL"
"Ig","L",208.53,0,"IAL"
"Ig","L",210.3,0,"IAL"
"Ig","R",213.8664,0,"IAL"
"Ig","R",213.9036,0,"IAL"
"Ig","R",215.7856,0,"IAL"
"Ig","R",216.6584,0,"IAL"
"Ig","R",216.3672,0,"IAL"
"Ig","R",216.0444,0,"IAL"
"Ig","R",216.3204,0,"IAL"
"Ig","R",215.7388,0,"IAL"
"Ig","R",216.3748,0,"IAL"
"Ig","R",217.6472,0,"IAL"
"Ig","R",217.4992,0,"IAL"
"Ig","R",217.4512,0,"IAL"
"Ig","R",216.86,0.0284005689164727,"IAL"
"Ig","R",216.0316,0,"IAL"
"Ig","R",216.1528,0,"IAL"
"Ig","R",216.88,0,"IAL"
"Ig","R",216.5864,0,"IAL"
"Ig","R",215.1964,0,"IAL"
"Ig","R",214.6016,0,"IAL"
"Ig","R",214.9016,0,"IAL"
"Ig","R",215.5436,0,"IAL"
"Ig","R",215.4492,0,"IAL"
"Ig","R",217.4524,0,"IAL"
"Ig","R",217.6764,0,"IAL"
"Ig","R",218.6192,0,"IAL"
"Ig","R",218.7924,0,"IAL"
"Ig","R",217.7156,0,"IAL"
"Ig","R",216.6076,0,"IAL"
"Ig","R",216.4336,0,"IAL"
"Ig","R",214.8928,0,"IAL"
"Ig","R",214.958,0,"IAL"
"Ig","R",216.9168,0,"IAL"
"Ig","R",216.4576,0,"IAL"
"Ig","R",215.7588,0,"IAL"
"Ig","R",217.0748,0,"IAL"
"Ig","R",216.6168,0,"IAL"
"Ig","R",217.5376,0,"IAL"
"Ig","R",217.1596,0,"IAL"
"Ig","R",216.3524,0,"IAL"
"Ig","R",218.4772,0,"IAL"
"Ig","R",218.0716,0,"IAL"
"Ig","R",218.318,0,"IAL"
"Ig","R",217.5132,0,"IAL"
"Ig","R",214.1356,0,"IAL"
"Ig","R",212.7516,0,"IAL"
"Ig","R",212.2256,0,"IAL"
"Ig","R",213.6328,0,"IAL"
"Ig","R",214.7216,0,"IAL"
"Ig","R",214.982,0,"IAL"
"Ig","R",214.924,0,"IAL"
"Ig","R",215.1468,0,"IAL"
"Ig","R",216.7568,0,"IAL"
"Ig","R",216.354,0,"IAL"
"Ig","R",216.082,0,"IAL"
"Ig","R",215.8128,0,"IAL"
"Ig","R",216.1248,0,"IAL"
"Ig","R",213.3236,0,"IAL"
"Ig","R",213.8368,0,"IAL"
"Ig","R",212.9916,0,"IAL"
"Ig","R",212.3628,0,"IAL"
"Ig","R",213.4904,0,"IAL"
"Ig","R",213.6072,0,"IAL"
"Ig","R",214.944,0,"IAL"
"Ig","R",214.9556,0,"IAL"
"Ig","R",215.1232,0,"IAL"
"Ig","R",213.8964,0,"IAL"
"Ig","R",213.2964,0,"IAL"
"Ig","R",212.2204,0,"IAL"
"Ig","R",213.4912,0,"IAL"
"Ig","R",216.6936,0,"IAL"
"Ig","R",213.4104,0,"IAL"
"Ig","R",212.5496,0,"IAL"
"Ig","R",213.4304,0,"IAL"
"Ig","R",213.9212,0,"IAL"
"Ig","R",213.6736,0,"IAL"
"Ig","R",214.2172,0,"IAL"
"Ig","R",214.5752,0,"IAL"
"Ig","R",214.9868,0,"IAL"
"Ig","R",217.3644,0,"IAL"
"Ig","R",216.424,0,"IAL"
"Ig","R",214.73,0,"IAL"
"Ig","R",214.2708,0,"IAL"
"Ig","R",213.912,0,"IAL"
"Ig","R",213.1056,0,"IAL"
"Ig","R",213.2528,0,"IAL"
"Ig","R",213.1272,0,"IAL"
"Ig","R",215.4352,0,"IAL"
"Ig","R",213.2748,0,"IAL"
"Ig","R",213.1136,0,"IAL"
"Ig","R",213.5948,0,"IAL"
"Ig","R",213.7896,0,"IAL"
"Ig","R",214.0632,0,"IAL"
"Ig","R",214.496,0,"IAL"
"Ig","R",215.0448,0,"IAL"
"Ig","R",215.9384,0,"IAL"
"Ig","R",182.2472,0.0359808298857166,"IDD5"
"Ig","R",181.886,0.0816179527589507,"IDD5"
"Ig","R",181.664,0,"IDD5"
"Ig","R",181.2192,0,"IDD5"
"Ig","R",180.6008,0,"IDD5"
"Ig","R",180.2552,0,"IDD5"
"Ig","R",179.872,0,"IDD5"
"Ig","R",179.102,0.313105149552883,"IDD5"
"Ig","R",178.3488,0.0544158687574202,"IDD5"
"Ig","R",181.694,0,"IDD5"
"Ig","R",181.2208,0,"IDD5"
"Ig","R",180.778,0.257761354045485,"IDD5"
"Ig","R",179.8288,0,"IDD5"
"Ig","R",179.47,0,"IDD5"
"Ig","R",179.1632,0,"IDD5"
"Ig","R",179.288,0.441692941474304,"IDD5"
"Ig","R",178.426,0,"IDM"
"Ig","R",180.296,0,"IDD5"
"Ig","R",185.2728,0,"IDD5"
"Ig","R",186.0032,0,"IDM"
"Ig","R",184.918,0,"IDM"
"Ig","R",184.582,0,"IDM"
