"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude_overall","p_magnitude_conditional","direction","p_presence_BH","p_magnitude_overall_BH","p_magnitude_conditional_BH"
"IDD5_251637","spAmy",33,30,1,0.121212121212121,0,0.0121883415038514,0,0.0957335909981059,NA,0.11470373448163,0.0527193506487502,NA,"L>R",0.573518672408149,0.158158051946251,NA
"IDD5_251637","pAmy",33,30,1,0.0606060606060606,0.0666666666666667,0.00213074617744147,0.0078792672043149,0.0351573119277843,0.118189008064724,1,0.883517309458509,0.245278116806773,"R>L",1,0.883517309458509,0.245278116806773
"IDD5_251637","THy",33,30,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_251637","PHy",33,30,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_251637","ZI-H",33,30,1,0.0606060606060606,0,0.0182586496909751,0,0.30126771990109,NA,0.493087557603687,0.181360888457684,NA,"L>R",1,0.272041332686526,NA
"IDM_251637","spAmy",44,32,1,0.0227272727272727,0.0625,0.00228724625545306,0.00691814389748695,0.100638835239935,0.110690302359791,0.569388335704125,0.391134299773451,NA,"R>L",1,0.462915328330994,NA
"IDM_251637","pAmy",44,32,1,0.0227272727272727,0.125,0.00113605010351408,0.0312347708583599,0.0499862045546194,0.259956669181237,0.155326054244584,0.071966533313434,NA,"R>L",0.776630271222918,0.215899599940302,NA
"IDM_251637","THy",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDM_251637","PHy",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDM_251637","ZI-H",44,32,1,0.0681818181818182,0.03125,0.0157513519108392,0.00147646517673272,0.169661512745508,0.0472468856554471,0.6342750248446,0.462915328330994,NA,"L>R",1,0.462915328330994,NA
"IDD5_plus_IDM","spAmy",77,62,1,0.0649350649350649,0.032258064516129,0.00653057279048093,0.00357065491483197,0.100638835239935,0.110690302359791,0.460843964710939,0.386176429660173,1,"L>R",0.768073274518232,0.386176429660173,1
"IDD5_plus_IDM","pAmy",77,62,1,0.038961038961039,0.0967741935483871,0.00156234842091153,0.0199337207031769,0.0499862045546194,0.176521252142371,0.187487457001831,0.145585968112592,0.0281858021479074,"R>L",0.56288938749716,0.230818552859719,0.0563716042958148
"IDD5_plus_IDM","THy",77,62,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_plus_IDM","PHy",77,62,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_plus_IDM","ZI-H",77,62,1,0.0649350649350649,0.0161290322580645,0.016825908102326,0.000762046542829793,0.223040935672515,0.0472468856554471,0.225155754998864,0.153879035239813,NA,"L>R",0.56288938749716,0.230818552859719,NA
"IAL_combined","spAmy",21,117,3,0.0476190476190476,0.0427350427350427,0.00512839954087999,0.00410974203226258,0.10769639035848,0.0976658965984227,1,0.906518227984022,NA,"L>R",1,0.906518227984022,NA
"IAL_combined","pAmy",21,117,3,0.142857142857143,0.0256410256410256,0.0187980960938606,0.00452415142508491,0.124026804440125,0.163893373752018,0.045277049702112,0.0180104475175872,0.382733088885226,"L>R",0.22638524851056,0.0481818456273866,0.382733088885226
"IAL_combined","THy",21,117,3,0,0.0256410256410256,0,0.00385382337465941,NA,0.148365679264556,1,0.466962997199709,NA,"R>L",1,0.778271661999515,NA
"IAL_combined","PHy",21,117,3,0.0476190476190476,0,0.0072282043713182,0,0.151792291797682,NA,0.152173913043478,0.0192727382509546,NA,"L>R",0.380434782608696,0.0481818456273866,NA
"IAL_combined","ZI-H",21,117,3,0,0.00854700854700855,0,0.000627176777956046,NA,0.0733796830208574,1,0.686591451331442,NA,"R>L",1,0.858239314164303,NA
"IAL_251637","spAmy",7,95,1,0.142857142857143,0.0526315789473684,0.01538519862264,0.00506147176604971,0.10769639035848,0.0976658965984227,0.354566375809373,0.314333375007926,NA,"L>R",0.590943959682289,0.523888958346543,NA
"IAL_251637","pAmy",7,95,1,0.142857142857143,0.0315789473684211,0.0130742730667071,0.00557184964984142,0.0915199114669497,0.163893373752018,0.250855673802674,0.168353135150656,NA,"L>R",0.590943959682289,0.420882837876641,NA
"IAL_251637","THy",7,95,1,0,0.0315789473684211,0,0.00474628773510685,NA,0.148365679264556,1,0.651114601908575,NA,"R>L",1,0.813893252385719,NA
"IAL_251637","PHy",7,95,1,0.142857142857143,0,0.0216846131139546,0,0.151792291797682,NA,0.0686274509803921,0.000267221700771969,NA,"L>R",0.343137254901961,0.00133610850385984,NA
"IAL_251637","ZI-H",7,95,1,0,0.0105263157894737,0,0.000772417716009025,NA,0.0733796830208574,1,0.816017650690092,NA,"R>L",1,0.816017650690092,NA
"IAL_252385","spAmy",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","pAmy",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","THy",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","PHy",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","ZI-H",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
