"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude_overall","p_magnitude_conditional","direction","p_presence_BH","p_magnitude_overall_BH","p_magnitude_conditional_BH"
"per_251637","PThal",103,157,1,0.0485436893203883,0.00636942675159236,0.0143723224747158,0.00221736402160936,0.274956367837565,0.34812615139267,0.037481867152259,0.0279662020994016,NA,"L>R",0.191479336487424,0.0965518966604385,NA
"per_251637","GThal",103,157,1,0.029126213592233,0,0.00304092076216339,0,0.109352989985142,NA,0.0610753482846506,0.0321839655534795,NA,"L>R",0.191479336487424,0.0965518966604385,NA
"per_251637","Rh",103,157,1,0.0485436893203883,0.0445859872611465,0.00532972475276193,0.0097144809461804,0.108634291090685,0.188520373629349,1,0.926093590416453,0.0740352478548967,"R>L",1,0.926093590416453,0.0813611292340755
"per_251637","Rt",103,157,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_251637","VThal",33,30,1,0.0303030303030303,0,0.00443336877547404,0,0.146301169590643,NA,1,0.356695253362759,NA,"L>R",1,0.445869066703449,NA
"IDD5_251637","MThal",33,30,1,0.0303030303030303,0,0.00163964203437888,0,0.0541081871345029,NA,1,0.356695253362759,NA,"L>R",1,0.445869066703449,NA
"IDD5_251637","MLThal",33,30,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_251637","PThal",33,30,1,0.0606060606060606,0.0333333333333333,0.0211231806670918,0.0116042050464223,0.348532481007014,0.34812615139267,1,0.627818543119047,NA,"L>R",1,0.627818543119047,NA
"IDD5_251637","GThal",33,30,1,0.0303030303030303,0,0.00146394293184893,0,0.0483101167510147,NA,1,0.356695253362759,NA,"L>R",1,0.445869066703449,NA
"IDD5_251637","Rh",33,30,1,0,0.133333333333333,0,0.0341125386665844,NA,0.222055056922109,0.0460074034902168,0.0329606848549705,NA,"R>L",0.322051824431518,0.164803424274853,NA
"IDD5_251637","Rt",33,30,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDM_251637","VThal",44,32,1,0.0681818181818182,0,0.0139565801839183,0,0.157789076718137,NA,0.258947368421053,0.138541655604164,NA,"L>R",0.453157894736842,0.173177069505205,NA
"IDM_251637","MThal",44,32,1,0.0909090909090909,0,0.0136877591531891,0,0.16603270202161,NA,0.133838149613204,0.0842775998321155,NA,"L>R",0.453157894736842,0.173177069505205,NA
"IDM_251637","MLThal",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDM_251637","PThal",44,32,1,0.0681818181818182,0,0.0178019148382205,0,0.274956367837565,NA,0.258947368421053,0.138541655604164,NA,"L>R",0.453157894736842,0.173177069505205,NA
"IDM_251637","GThal",44,32,1,0.0454545454545455,0,0.00602056185799578,0,0.132452360875907,NA,0.505964912280702,0.23205210915296,NA,"L>R",0.708350877192983,0.23205210915296,NA
"IDM_251637","Rh",44,32,1,0,0.0625,0,0.00877856897742427,NA,0.140457103638788,0.174035087719298,0.0988690143118424,NA,"R>L",0.453157894736842,0.173177069505205,NA
"IDM_251637","Rt",44,32,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_plus_IDM","VThal",77,62,1,0.051948051948052,0,0.00987520386601364,0,0.15204512315439,NA,0.128335213360851,0.0707736945787467,NA,"L>R",0.29944883117532,0.117956157631245,NA
"IDD5_plus_IDM","MThal",77,62,1,0.0649350649350649,0,0.00852428038798473,0,0.127018822100789,NA,0.0652338211197802,0.0424372984902094,NA,"L>R",0.228318373919231,0.106093246225524,NA
"IDD5_plus_IDM","MLThal",77,62,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IDD5_plus_IDM","PThal",77,62,1,0.0649350649350649,0.0161290322580645,0.0192253144791654,0.00561493792568822,0.274956367837565,0.34812615139267,0.225155754998864,0.168256032885814,NA,"L>R",0.354707538317172,0.168256032885814,NA
"IDD5_plus_IDM","GThal",77,62,1,0.038961038961039,0,0.00406772517536141,0,0.109352989985142,NA,0.253362527369409,0.11945283174839,NA,"L>R",0.354707538317172,0.149316039685487,NA
"IDD5_plus_IDM","Rh",77,62,1,0,0.0967741935483871,0,0.021036941407663,NA,0.174557726990134,0.00684598127183364,0.00554213075251555,NA,"R>L",0.0479218689028355,0.0277106537625777,NA
"IDD5_plus_IDM","Rt",77,62,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_combined","VThal",21,117,3,0,0.00854700854700855,0,0.00201609101923496,NA,0.235882649250491,1,0.686591451331442,NA,"R>L",1,0.686591451331442,NA
"IAL_combined","MThal",21,117,3,0,0.0170940170940171,0,0.00510943836646391,NA,0.298902144438139,1,0.557196953821339,NA,"R>L",1,0.686591451331442,NA
"IAL_combined","MLThal",21,117,3,0.0476190476190476,0.0170940170940171,0.0232815252340493,0.00561033254176937,0.488912029915036,0.328204453693508,0.392979819665092,0.372560425025725,NA,"L>R",1,0.686591451331442,NA
"IAL_combined","PThal",21,117,3,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_combined","GThal",21,117,3,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_combined","Rh",21,117,3,0.19047619047619,0.0170940170940171,0.0258767106717428,0.00404663584721095,0.0990110413901405,0.23672819706184,0.00501037107293075,0.000413477121108724,0.487453290364035,"L>R",0.0350725975105153,0.00165390848443489,0.487453290364035
"IAL_combined","Rt",21,117,3,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
