"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","p_presence","p_magnitude","direction","p_pres_BH","p_mag_BH"
"IDD5_plus_IDM","Iam/Iapm",77,62,1,0,0.0161290322580645,0,0.0019742618247454,0.446043165467626,0.27135452472855,"R>L",0.669655579883919,0.316580278849975
"IDD5_plus_IDM","Ri",77,62,1,0,0,0,0,1,NA,"R>L",1,NA
"IAL_combined","Ial",21,117,3,1,0.837606837606838,0.449685477054048,0.281092926045215,0.0776181828559909,0.0207635348879997,"L>R",0.310472731423964,0.072672372107999
"IAL_combined","Iapl",21,117,3,0.142857142857143,0.128205128205128,0.00410246445142775,0.0225643586970213,0.738286563779929,0.967682716933591,"R>L",1,0.967682716933591
"IAL_combined","Ia/Id",21,117,3,0.19047619047619,0.213675213675214,0.020131510838096,0.046808819594743,1,0.635214154457185,"R>L",1,0.801023359886683
"IAL_combined","Iai",21,117,3,0.666666666666667,0.478632478632479,0.127309400752058,0.0937348018193569,0.154953411581583,0.101130782300116,"L>R",0.332154171179312,0.233191716999119
"IAL_combined","Pi",21,117,3,0.0952380952380952,0.0256410256410256,0.00446865627630528,0.00203353569250679,0.166077085589656,0.133252409713782,"L>R",0.332154171179312,0.233191716999119
"IAL_combined","Ig",21,117,3,0,0.00854700854700855,0,0.000242739905268998,1,0.686591451331442,"R>L",1,0.801023359886683
"IAL_combined","Iam/Iapm",21,117,3,0.238095238095238,0.0598290598290598,0.0320533953534886,0.00626546155568593,0.0197103108752215,0.00659068441228265,"L>R",0.157682487001772,0.0461347908859786
"IAL_combined","Ri",21,117,3,0,0,0,0,1,NA,"R>L",1,NA
"IAL_251637","Ial",7,95,1,1,0.91578947368421,0.489126787620203,0.3053711932118,1,0.0500280796485762,"L>R",1,0.175098278770017
"IAL_251637","Iapl",7,95,1,0.142857142857143,0.147368421052632,0.00497544872383741,0.0264184470195836,1,0.863525711693929,"R>L",1,0.863525711693929
"IAL_251637","Ia/Id",7,95,1,0.142857142857143,0.221052631578947,0.00755694164632192,0.0476073473888725,1,0.519610990817484,"R>L",1,0.766578535302983
"IAL_251637","Iai",7,95,1,0.857142857142857,0.547368421052632,0.229221357014097,0.105485704775737,0.136965497641335,0.0200432980090397,"L>R",1,0.140303086063278
"IAL_251637","Pi",7,95,1,0.142857142857143,0.0315789473684211,0.00541275311690505,0.00250445974761362,0.250855673802674,0.168353135150656,"L>R",1,0.392823982018198
"IAL_251637","Ig",7,95,1,0,0.0105263157894737,0,0.000298953357015502,1,0.816017650690092,"R>L",1,0.863525711693929
"IAL_251637","Iam/Iapm",7,95,1,0,0.0526315789473684,0,0.00631724833708938,1,0.547556096644988,"R>L",1,0.766578535302983
"IAL_251637","Ri",7,95,1,0,0,0,0,1,NA,"R>L",1,NA
"IAL_252385","Ial",11,20,1,1,0.45,0.500086758727494,0.128543047940584,0.00210967421878096,0.00164551416168598,"L>R",0.0168773937502476,0.00987308497011588
"IAL_252385","Iapl",11,20,1,0.181818181818182,0.05,0.00466578294664735,0.00651387503455238,0.281423804226919,0.295577477718658,"R>L",0.562847608453838,0.35469297326239
"IAL_252385","Ia/Id",11,20,1,0.272727272727273,0.2,0.033623921461433,0.047696694532102,0.675719460369071,0.843576684532803,"R>L",0.900959280492095,0.843576684532803
"IAL_252385","Iai",11,20,1,0.545454545454545,0.1,0.0721555051537208,0.0202478161124866,0.0119848264453381,0.0169421680884315,"L>R",0.0479393057813526,0.0508265042652944
"IAL_252385","Pi",11,20,1,0.0909090909090909,0,0.00508659181673414,0,0.354838709677419,0.200200782871217,"L>R",0.567741935483871,0.300301174306825
"IAL_252385","Ig",11,20,1,0,0,0,0,1,NA,"R>L",1,NA
"IAL_252385","Iam/Iapm",11,20,1,0.363636363636364,0.1,0.051001046231583,0.00664602049958816,0.150977683791922,0.0679210913284874,"L>R",0.402607156778458,0.135842182656975
"IAL_252385","Ri",11,20,1,0,0,0,0,1,NA,"R>L",1,NA
